 ,Label,Area,Mean,X,Y,Feret,%Area,Slice,FeretX,FeretY,FeretAngle,MinFeret
167,Stack:1,0.595,255,23.826,19.217,2.417,100,1,22.803,18.231,148.815,0.835
168,Stack:1,0.480,255,18.098,18.770,1.559,100,1,17.524,19.211,29.249,0.606
169,Stack:1,0.666,255,0.874,19.441,1.930,100,1,0.707,18.612,111.501,0.689
170,Stack:1,0.246,255,27.168,19.470,1.558,100,1,26.939,18.721,114.775,0.396
171,Stack:1,0.243,255,4.029,19.328,1.057,100,1,3.537,18.993,145.491,0.389
172,Stack:1,0.660,255,11.790,20.133,3.607,100,1,10.177,21.551,33.930,0.638
173,Stack:1,0.121,255,19.494,19.599,0.516,100,1,19.374,19.810,71.565,0.327
174,Stack:1,0.210,255,16.132,19.643,0.707,100,1,15.782,19.592,157.380,0.515
175,Stack:1,0.104,255,25.741,19.762,0.555,100,1,25.687,19.483,101.310,0.218
176,Stack:1,0.634,255,2.663,20.402,1.825,100,1,2.830,19.592,100.305,0.886
177,Stack:1,1.285,255,18.190,21.072,3.968,100,1,16.925,19.592,132.221,0.753
178,Stack:1,0.412,255,19.367,20.440,1.905,100,1,18.721,19.646,126.870,0.356
179,Stack:1,0.791,255,6.494,20.701,3.087,100,1,5.660,19.755,130.711,0.845
180,Stack:1,0.305,255,23.396,20.224,1.298,100,1,22.803,19.755,146.976,0.471
181,Stack:1,0.317,255,8.052,20.302,1.157,100,1,7.565,19.918,131.186,0.570
182,Stack:1,0.320,255,20.687,20.751,2.732,100,1,19.810,19.918,134.193,0.283
183,Stack:1,0.163,255,10.068,20.402,0.658,100,1,9.905,20.082,114.444,0.423
184,Stack:1,0.758,255,4.352,21.062,1.949,100,1,3.537,21.551,35.910,0.632
185,Stack:1,0.900,255,14.545,21.188,2.592,100,1,13.442,20.463,140.964,0.862
186,Stack:1,0.299,255,25.643,20.758,1.022,100,1,25.415,20.299,115.201,0.475
187,Stack:1,0.379,255,15.784,20.965,2.202,100,1,15.238,20.354,129.987,0.480
188,Stack:1,0.133,255,7.400,20.981,0.847,100,1,7.075,20.680,135.000,0.346
189,Stack:1,0.323,255,17.204,21.294,1.655,100,1,16.653,20.789,133.668,0.346
190,Stack:1,0.124,255,25.180,21.105,1.045,100,1,24.871,20.735,128.660,0.237
191,Stack:1,0.157,255,0.266,21.060,0.697,100,1,0.000,21.333,51.340,0.363
192,Stack:1,0.104,255,13.253,21.070,0.560,100,1,13.116,21.279,60.945,0.310
193,Stack:1,0.711,255,26.845,21.705,2.167,100,1,26.177,22.476,51.116,0.545
194,Stack:1,0.355,255,23.355,21.380,1.424,100,1,22.803,20.844,136.548,0.467
