 ,Label,X,Y,Width,Height,Area,NearestNeighborDistance,Perimeter,Circularity,Roundness,AR,Solidity,Feret,FeretAR,Compactness,Extent,IntegratedDensity,RawIntegratedDensity,FeretAngle,MinFeret,FeretX,FeretY,XM,YM,BX,BY,Major,Minor,Angle,XStart,YStart
203,Along the build_20.tif,21.674,13.937,2.558,2.340,0.655,1.374,7.323,0.153,0.086,11.595,0.493,3.394,6.957,0.294,0.109,166.908,56355.000,138.900,0.488,20.299,12.898,21.674,13.937,20.299,12.789,3.109,0.268,135.860,375.000,235.000
204,Along the build_20.tif,27.207,13.616,1.796,1.306,0.421,1.074,5.000,0.211,0.175,5.702,0.460,2.158,3.348,0.419,0.179,107.244,36210.000,33.690,0.645,26.503,14.041,27.207,13.616,26.503,12.789,1.747,0.306,35.953,517.000,235.000
205,Along the build_20.tif,6.352,14.554,3.592,3.374,1.386,0.688,11.617,0.129,0.107,9.336,0.474,4.695,5.084,0.327,0.114,353.453,119340.000,134.061,0.924,5.116,12.898,6.352,14.554,4.789,12.898,4.059,0.435,140.088,94.000,237.000
206,Along the build_20.tif,42.234,13.330,0.599,0.816,0.267,0.971,2.283,0.643,0.629,1.590,0.793,0.832,1.469,0.793,0.545,67.972,22950.000,78.690,0.567,42.231,13.714,42.234,13.330,41.905,12.898,0.734,0.462,106.053,777.000,237.000
207,Along the build_20.tif,51.605,13.764,1.252,1.469,0.367,1.268,4.130,0.271,0.164,6.086,0.641,1.829,4.532,0.405,0.200,93.650,31620.000,126.529,0.403,50.884,12.898,51.605,13.764,50.884,12.898,1.687,0.277,129.258,935.000,237.000
208,Along the build_20.tif,23.110,13.270,0.653,0.544,0.190,1.584,1.943,0.631,0.710,1.408,0.780,0.707,1.510,0.843,0.533,48.335,16320.000,157.380,0.469,22.803,13.170,23.110,13.270,22.803,12.952,0.583,0.414,144.244,423.000,238.000
209,Along the build_20.tif,46.271,13.468,0.707,1.252,0.258,1.156,3.212,0.314,0.211,4.744,0.688,1.438,4.236,0.459,0.291,65.706,22185.000,119.476,0.339,45.986,12.952,46.271,13.468,45.986,12.952,1.248,0.263,114.558,845.000,238.000
210,Along the build_20.tif,52.857,13.564,0.599,0.980,0.275,1.051,2.750,0.458,0.387,2.585,0.691,1.072,2.086,0.622,0.470,70.237,23715.000,113.962,0.514,52.517,13.061,52.857,13.564,52.517,13.061,0.952,0.368,104.715,965.000,240.000
211,Along the build_20.tif,33.708,13.565,0.707,0.871,0.367,1.125,2.532,0.720,0.612,1.634,0.832,0.999,1.533,0.782,0.596,93.650,31620.000,119.358,0.652,33.469,13.116,33.708,13.565,33.361,13.116,0.874,0.535,122.494,615.000,241.000
212,Along the build_20.tif,29.842,13.389,0.544,0.435,0.113,0.625,1.667,0.509,0.439,2.276,0.724,0.635,1.861,0.663,0.475,28.699,9690.000,30.964,0.341,29.551,13.497,29.842,13.389,29.551,13.170,0.571,0.251,31.156,551.000,242.000
213,Along the build_20.tif,32.042,13.870,1.850,1.959,0.702,1.313,6.187,0.230,0.203,4.934,0.539,2.658,3.453,0.450,0.194,178.992,60435.000,132.510,0.770,31.347,13.170,32.042,13.870,31.293,13.170,2.100,0.426,128.132,576.000,242.000
214,Along the build_20.tif,10.271,13.641,1.415,0.762,0.489,1.507,4.186,0.351,0.433,2.311,0.568,1.432,1.933,0.658,0.453,124.615,42075.000,171.254,0.741,9.578,13.442,10.271,13.641,9.578,13.224,1.199,0.519,0.527,179.000,243.000
215,Along the build_20.tif,1.940,14.037,0.816,0.871,0.157,0.618,2.482,0.320,0.153,6.520,0.658,1.194,4.635,0.392,0.221,40.028,13515.000,46.848,0.258,1.578,14.476,1.940,14.037,1.578,13.605,1.142,0.175,45.969,42.000,250.000
216,Along the build_20.tif,41.396,13.916,0.327,0.544,0.116,0.815,1.391,0.750,0.540,1.853,0.848,0.568,1.740,0.735,0.650,29.454,9945.000,106.699,0.327,41.306,13.605,41.396,13.916,41.252,13.605,0.522,0.282,94.783,759.000,250.000
217,Along the build_20.tif,17.026,13.984,0.599,0.599,0.264,1.163,1.853,0.965,0.827,1.210,0.908,0.710,1.317,0.909,0.736,67.216,22695.000,147.529,0.539,16.707,13.823,17.026,13.984,16.707,13.660,0.637,0.527,141.094,311.000,251.000
218,Along the build_20.tif,53.530,14.372,0.599,1.578,0.421,1.051,4.082,0.317,0.342,2.921,0.638,1.587,2.707,0.585,0.445,107.244,36210.000,84.094,0.586,53.660,15.238,53.530,14.372,53.224,13.660,1.251,0.428,92.699,986.000,251.000
219,Along the build_20.tif,39.528,14.376,1.361,1.469,0.370,1.121,5.045,0.183,0.163,6.122,0.490,2.003,3.717,0.404,0.185,94.405,31875.000,132.797,0.539,38.803,13.714,39.528,14.376,38.803,13.714,1.699,0.277,132.152,713.000,252.000
220,Along the build_20.tif,18.172,14.188,0.544,0.816,0.264,1.163,2.083,0.763,0.663,1.509,0.852,0.818,1.555,0.814,0.593,67.216,22695.000,93.814,0.526,18.122,13.769,18.172,14.188,17.905,13.769,0.712,0.472,95.955,333.000,253.000
221,Along the build_20.tif,19.908,14.643,1.088,1.796,0.355,1.142,4.950,0.182,0.281,3.564,0.426,1.951,2.863,0.530,0.182,90.629,30600.000,112.989,0.681,19.755,13.769,19.908,14.643,19.429,13.769,1.270,0.356,116.509,363.000,253.000
222,Along the build_20.tif,40.586,14.007,0.490,0.544,0.163,0.815,1.590,0.810,0.576,1.736,0.859,0.664,1.705,0.759,0.611,41.538,14025.000,124.992,0.390,40.327,13.769,40.586,14.007,40.327,13.769,0.600,0.346,124.310,741.000,253.000
223,Along the build_20.tif,7.361,14.284,0.599,0.653,0.124,1.045,1.802,0.481,0.221,4.535,0.764,0.850,3.682,0.470,0.318,31.720,10710.000,129.806,0.231,7.075,13.932,7.361,14.284,7.075,13.932,0.847,0.187,136.642,130.000,256.000
